cpe,upgrade,interface,bgp_nbr_match,route_match,config_match
GER002126,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002130,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002134,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002146,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002182,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002226,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002228,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002232,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002299,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002406,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002410,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002471,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002525,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002531,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002609,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002618,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002630,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002652,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002673,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002762,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER002765,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER003006,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER003008,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER003014,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER003028,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER003032,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER003410,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER003463,Failed to upgrade - versa-flexvnf-20191106-113931-80561de-16.1R2S9 to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
GER003610,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
VNF-V-SIN000136,Failed to upgrade - versa-flexvnf-20191106-113931-80561de-16.1R2S9 to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
